datasets,f1,auc,precise,recall,mcc,effort
activemq,0.0,0.5,0.0,0.0,0.0,0.4166666666666667
camel,0.3636363636363636,0.6116229624379872,0.8,0.23529411764705882,0.3847691483855358,0.4117647058823529
derby,0.1904761904761905,0.5424403183023871,0.25,0.15384615384615385,0.1052206604390576,0.15384615384615385
geronimo,0.0,0.4846938775510204,0.0,0.0,-0.025123302075452107,0.5
